32	5	14
50	45	1
55	30	31
82	75	12
18	74	30
74	99	98
69	19	7
14	54	34
41	31	75
10	14	1
3	15	21
77	5	17
80	57	58
95	77	44
34	38	0
87	38	73
54	12	58
93	53	57
62	81	61
14	80	44
19	47	6
21	51	91
73	34	46
87	96	90
80	62	74
37	96	55
23	86	68
83	79	91
60	9	39
1	7	38
82	32	87
2	53	27
4	46	96
33	21	72
83	10	22
9	49	13
71	60	93
92	33	86
41	73	24
67	75	67
75	10	1
0	73	84
52	39	59
39	17	93
31	61	39
21	35	4
64	88	44
96	23	22
18	30	80
80	19	22
47	46	84
7	14	38
72	39	71
45	42	21
73	90	83
75	48	82
65	74	62
15	96	13
5	2	77
36	81	19
28	49	61
75	91	43
65	35	29
28	83	88
99	86	19
13	45	1
69	84	36
20	33	13
79	55	30
57	13	69
38	98	50
40	25	75
61	92	64
85	93	36
83	36	16
64	93	35
9	59	82
43	17	42
50	86	91
89	87	99
38	84	77
78	61	92
91	93	24
47	81	77
24	67	5
44	81	73
33	53	37
69	59	11
14	54	92
52	74	88
69	75	6
15	90	71
16	46	5
44	8	26
15	17	82
23	17	72
62	0	34
35	39	90
69	26	52
7	9	99
2	73	54
51	73	4
33	32	41
9	50	88
84	1	94
32	6	65
67	10	95
65	71	43
51	61	45
98	19	86
72	33	55
75	99	99
61	86	32
75	40	74
79	3	64
54	83	86
83	86	54
15	6	57
75	1	7
29	89	45
91	43	87
45	80	83
99	38	62
62	30	38
43	88	75
12	57	53
41	18	35
85	36	14
29	13	65
83	97	73
16	66	57
44	68	5
80	23	30
72	19	17
86	90	2
96	24	23
64	67	2
31	79	40
55	94	65
65	70	44
78	39	42
86	71	75
35	9	16
92	24	44
98	63	67
22	18	97
71	0	15
95	53	20
96	16	12
42	83	90
64	50	36
72	4	97
67	52	4
53	96	46
4	15	15
52	96	8
52	57	47
35	60	56
74	20	31
75	86	43
16	43	92
74	64	88
60	26	27
81	85	66
23	33	48
65	75	98
85	32	79
39	41	94
68	79	20
79	46	59
83	58	55
71	68	83
73	26	76
30	30	54
62	47	69
26	22	24
22	97	16
67	20	57
79	40	6
25	90	21
69	13	16
43	96	93
22	29	45
87	38	69
44	43	22
63	88	22
93	83	22
47	52	87
9	91	57
43	16	78
59	8	55
6	8	90
39	20	92
20	90	29
94	83	74
69	51	57
69	2	73
93	3	9
0	11	85
87	13	51
56	61	42
24	65	14
24	10	23
74	87	66
18	87	90
67	50	36
85	19	70
72	30	38
33	56	17
6	61	21
15	50	92
13	45	6
20	41	94
3	52	65
76	80	66
90	46	72
64	44	82
28	92	66
93	14	23
43	60	38
86	97	12
48	58	28
12	24	42
82	46	19
98	6	28
15	65	52
63	0	92
43	59	5
4	9	35
63	99	37
82	0	80
39	87	78
47	9	70
31	13	94
95	90	68
39	41	73
28	1	96
67	30	56
17	50	80
38	62	67
59	35	14
68	88	80
58	68	50
98	24	47
96	45	1
12	36	65
88	1	56
67	11	25
89	31	58
98	39	93
42	6	24
50	89	25
17	6	82
43	56	69
77	11	66
90	52	60
47	73	78
93	89	39
2	76	28
74	11	69
26	88	22
5	95	94
59	90	47
5	90	56
29	1	96
42	36	73
69	74	81
20	6	38
71	54	7
29	94	31
65	83	93
46	85	91
74	5	73
65	60	36
99	69	23
9	41	58
19	36	3
11	63	32
92	81	21
76	40	12
54	88	96
0	79	43
86	45	90
48	0	97
51	28	58
73	47	60
59	94	0
29	54	30
25	96	2
15	79	42
66	61	17
16	99	48
51	66	93
56	49	77
93	9	98
92	77	50
35	19	3
83	66	62
93	34	91
63	94	81
28	57	72
70	65	62
61	30	59
73	59	86
97	95	45
14	19	92
54	69	14
24	17	17
73	33	20
77	6	54
85	98	85
7	58	4
12	92	6
74	49	98
33	19	81
54	93	80
66	37	18
72	86	83
21	22	72
85	52	45
32	13	55
26	83	22
31	15	43
42	88	16
7	78	61
44	57	34
49	42	70
60	55	22
75	7	1
64	33	4
17	89	34
92	2	32
33	11	35
35	27	92
96	61	20
48	62	31
85	4	63
58	62	34
68	29	32
79	23	14
58	93	74
17	6	93
36	80	21
85	90	66
67	69	59
43	90	11
72	71	11
91	16	28
76	91	47
44	85	74
30	58	26
70	58	91
44	31	19
80	91	10
1	67	85
38	89	9
74	28	55
96	23	44
58	51	49
93	42	29
52	4	46
6	91	70
62	26	28
6	26	60
89	8	96
15	14	50
97	60	17
74	19	11
21	97	95
51	98	67
32	7	81
72	43	89
58	23	83
42	12	53
27	57	76
73	64	53
3	14	44
30	2	13
96	24	61
39	0	63
65	78	38
52	85	54
50	58	27
99	91	0
58	8	34
27	46	26
79	41	82
94	11	28
62	77	38
67	94	78
97	7	4
96	32	99
43	88	95
69	77	63
22	95	90
97	82	61
28	3	53
35	1	79
68	90	48
5	48	37
